;s;p;o
713;synchronous groupware application;uses;software architectures
714;green it system;uses;ontologies
715;explicit term reuse;skos:broader/is/hyponym-of;reuse construct
716;dutch ships and sailors linked data cloud;skos:broader/is/hyponym-of;hub dataset
717;owl ontology;uses;relational database systems
718;knowledge management;skos:broader/is/hyponym-of;cikm conference
719;default public catalogue;includes;microdata
720;fuzzy semantic similarity measure;evaluates;ontologies
721;interoperability;skos:broader/is/hyponym-of;cookie cutter function
722;communication process;uses;visual knowledge map
723;ghuuid;skos:broader/is/hyponym-of;universally unique identifier
724;evolutionary clustering algorithm;uses;notion of medoid
725;economy;skos:broader/is/hyponym-of;domain
726;machine;uses;ontologies
727;information system environment;uses;linked data based approach
728;structured data;includes;web
729;context sensitive semantic search;uses;indian logic ontology based context aware query refinement model
730;rdf data;uses;distributed storage
731;pastry;skos:broader/is/hyponym-of;system
732;blogs;skos:broader/is/hyponym-of;social software
733;large ontology;uses;description logic reasoner
734;declarative workflow modeling approach;uses;semantic web technologies
735;reasoning algorithms;uses;formalised framework
736;expertise matching;uses;brokering system
737;reasoning service;uses;incremental dl reasoning algorithm
738;knowledge modeling;uses;semantic web technologies
739;web ontology language;skos:broader/is/hyponym-of;xmlbased repository
740;methodology;uses;reference model
741;browsing and retrieval interface;uses;query extension
742;tag;uses;mediator
743;schema matching model;uses;partial verified matching relation
744;graphical query generator;skos:broader/is/hyponym-of;application
745;crisis management;skos:broader/is/hyponym-of;crisis contagion
746;scholarly field;uses;evaluation system
747;workflow;uses;ontologies
748;technology;supports;knowledge-sharing
749;interrogation proces;includes;semantic web environment
750;grid;uses;distributed metadata catalog
751;hla simulation resource;uses;cloud computing
752;system development;uses;coupling measurement
753;semi automatic innovation tripole generation;skos:broader/is/hyponym-of;collaborative innovation
754;weak negation;uses;existential rule
755;semantic web technologies;improves;recall
756;organization modeling;uses;quantum perturbation model
757;retrieval of interesting content;uses;video indexing structure
758;web service;skos:broader/is/hyponym-of;internet based technology
759;web service composition;uses;service oriented middleware
760;sensor enabled web service;uses;context representation
761;probabilistic method;uses;tabular data
762;ontology similarity measure;uses;sparse vector learning algorithm
763;relatedness of word;uses;word co occurrence
764;conceptual indexing of soccer video;uses;structured information
765;semantic markup;skos:broader/is/hyponym-of;semantic index term
766;metadata representation of informational resource;uses;web ontology language
767;architecture;includes;ad hoc implementation
768;argumentation system;uses;predicate logic
769;similarity measure;uses;structured knowledge representation
770;family album ontology;acquires;domain knowledge
771;ontologies;skos:broader/is/hyponym-of;knowledge management systems
772;multi user editing;uses;description logic ontology
773;larger scale practice;uses;ai theory
774;ontology driven framework;improves;temporal querying requirement
775;mathematical document;uses;xml
776;irisportal;skos:broader/is/hyponym-of;semantic web technologies
777;semantic web technologies;includes;rule
778;chronological distinction;uses;semantic web technologies
779;data mining scenario;skos:broader/is/hyponym-of;constraint
780;ontology information;uses;semantic similarity calculation
781;api;uses;restful service
782;education;skos:broader/is/hyponym-of;domain
783;ontologies;uses;ogsa dai
784;fuzzy ontology;uses;prototype tool
785;wide conception;uses;software engineering
786;web service;uses;algorithm
787;rule;supports;software agents
788;document;uses;graph model
789;dyna;skos:broader/is/hyponym-of;protege plug in
790;mapping;uses;prototype tool
791;web document;uses;domain specific ontology
792;semantic web technologies;skos:broader/is/hyponym-of;application domain
793;conceptual modeling;uses;resource description framework (rdf)
794;linguistic ontology;uses;explicit property type tagging algorithm
795;ontodrive;skos:broader/is/hyponym-of;design framework
796;agent service;uses;agent service description model
797;rdf ontology;uses;sparql query
798;query answering mechanism;uses;conceptual graph
799;information systems;uses;semantic web technologies
800;skype;skos:broader/is/hyponym-of;online tool
801;mobility;skos:broader/is/hyponym-of;internet ability
802;semantic relationship;uses;linked data
803;design;skos:broader/is/hyponym-of;domain
804;web based intelligent sensor explorer framework;uses;topic map
805;natural language processing systems;skos:broader/is/hyponym-of;polysemy
806;situation awarenes;uses;hybrid evolutionary approach
807;knowledge processing;uses;data processing
808;elemek;skos:broader/is/hyponym-of;modular software system
809;semantic web technologies;uses;navigation modelling
810;learning proces;uses;personalized learning content
811;internet scale source code search;uses;semantic web based approach
812;automatic construction of web application;uses;three level architecture
813;meaning of thematic data;uses;geographical information
814;search engines;uses;semantic web technologies
815;resource description framework (rdf);skos:broader/is/hyponym-of;sparql query engine
816;webpage;uses;semantic annotating
817;engineer;produces;ontologies
818;unnecessary transformation;uses;rewriter
819;ranking;uses;ontoqa
820;ontologies;uses;owl ontology
821;information retrieval;uses;semantic web approach
822;ontologies;skos:broader/is/hyponym-of;disruptive technology
823;ieee lom;skos:broader/is/hyponym-of;xmlbased language
824;cooperative or competitive agent interaction;uses;event semantic
825;ontologies;uses;distance metric
826;petri net ontology;uses;web ontology language
827;xml data structure;uses;mapping language
828;groupanizer;uses;groupware
829;ontologies;uses;paraconsistent reasoning
830;beta cke portal;skos:broader/is/hyponym-of;semantic web portal
831;semantic application;uses;name extraction
832;internet of things api;uses;ogc sensor web
833;legends of geological time content;uses;animation
834;location;skos:broader/is/hyponym-of;implicit taxonomic information
835;mechanism;uses;ontology reasoning
836;method;uses;ontology technology
837;digital museum database;provides;heterogeneous data structure
838;ontology language;uses;multi entity bayesian network
839;design;uses;ontology visualization
840;semantics based change detection;uses;spreading activation
841;processed context information;uses;context managing unit
842;web;includes;transactional operation
843;semantic web technologies;uses;centralized repository of personal activity context
844;conceptual spaces framework;supports;robots
845;large knowledge collider;uses;reasoning technique
846;samonto;skos:broader/is/hyponym-of;online collective intelligence explorer
